,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand,torque_nm,torque_max_rpm
0,2014,450000,145500,diesel,individual,manual,first owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
1,2014,370000,120000,diesel,individual,manual,second owner,21.14,1498.0,103.52,5,skoda rapid,250.0,2500
2,2010,225000,127000,diesel,individual,manual,first owner,23.0,1396.0,90.0,5,hyundai i20,224.0,2750
3,2007,130000,120000,petrol,individual,manual,first owner,16.1,1298.0,88.2,5,maruti swift,115.0,4500
4,2017,440000,45000,petrol,individual,manual,first owner,20.14,1197.0,81.86,5,hyundai xcent,113.75,4000
5,2007,96000,175000,lpg,individual,manual,first owner,25.950000000000003,1061.0,57.5,5,maruti wagon,78.0,4500
6,2001,45000,5000,petrol,individual,manual,second owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
7,2011,350000,90000,diesel,individual,manual,first owner,23.59,1364.0,67.1,5,toyota etios,170.0,2400
8,2013,200000,169000,diesel,individual,manual,first owner,20.0,1399.0,68.1,5,ford figo,160.0,2000
9,2014,500000,68000,diesel,individual,manual,second owner,19.01,1461.0,108.45,5,renault duster,248.0,2250
10,2005,92000,100000,petrol,individual,manual,second owner,17.3,993.0,60.0,5,maruti zen,78.0,4500
11,2009,280000,140000,diesel,individual,manual,second owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
12,2009,180000,90000,petrol,individual,manual,second owner,18.9,1061.0,67.0,5,maruti wagon,84.0,3500
13,2016,400000,40000,petrol,individual,manual,first owner,18.15,1198.0,82.0,5,mahindra kuv,115.0,3600
14,2012,500000,53000,diesel,individual,manual,second owner,23.0,1396.0,90.0,5,hyundai i20,224.0,2750
15,2002,150000,80000,petrol,individual,manual,second owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
16,2016,680000,100000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
17,2011,174000,100000,diesel,individual,manual,second owner,21.0,1461.0,64.1,5,mahindra verito,160.0,2000
18,2017,950000,50000,diesel,individual,manual,first owner,25.5,1498.0,98.6,5,honda wr-v,200.0,1750
19,2015,525000,40000,diesel,individual,manual,first owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
20,2012,600000,72000,diesel,individual,manual,first owner,21.5,1248.0,88.8,5,maruti sx4,200.0,1750
21,2016,575000,45000,petrol,individual,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
22,2017,275000,28000,petrol,individual,manual,first owner,24.7,796.0,47.3,5,maruti alto,69.0,3500
23,2013,300000,70000,diesel,individual,manual,first owner,18.2,1248.0,73.8,7,chevrolet enjoy,172.5,1750
24,2009,220000,120000,petrol,individual,manual,first owner,18.9,1061.0,67.0,5,maruti wagon,84.0,3500
25,2018,254999,25000,petrol,individual,manual,first owner,16.8,796.0,34.2,8,maruti omni,59.0,2500
26,2017,670000,70000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
27,2012,150000,35000,petrol,individual,manual,second owner,14.0,796.0,35.0,5,maruti omni,61.0,3000
28,2017,650000,16200,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
29,2019,330000,10000,cng,individual,manual,second owner,50.16,796.0,40.3,4,maruti alto,60.0,3500
30,2019,366000,15000,petrol,individual,manual,first owner,23.95,998.0,67.1,5,maruti alto,90.0,3500
31,2019,1149000,5000,petrol,individual,manual,first owner,17.0,1591.0,121.3,5,hyundai verna,151.0,4850
32,2016,150000,42000,petrol,individual,manual,first owner,20.63,1198.0,67.0,5,datsun go,104.0,4000
33,2011,425000,60000,diesel,individual,manual,second owner,13.93,2179.0,138.03,7,tata safari,320.0,2700
34,2012,150000,76000,petrol,individual,manual,first owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
35,2019,2100000,5000,petrol,individual,automatic,first owner,16.0,1368.0,160.77,5,jeep compass,250.0,2500
36,2018,925000,28900,petrol,dealer,manual,first owner,17.8,1497.0,117.3,5,honda city,145.0,4600
37,2013,425000,86300,petrol,dealer,manual,first owner,16.8,1497.0,116.3,5,honda city,146.0,4800
38,2018,819999,32600,diesel,dealer,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
39,2018,390000,10300,petrol,dealer,manual,first owner,23.95,998.0,67.05,5,maruti alto,90.0,3500
